#
#    Name:     cp1047_IBMU_Latin_1 to Unicode table
#    Unicode version: 2.0
#    Table version: 2.00
#    Table format:  Format A
#    Date:          04/24/96
#    Contact: Shawn.Steele@microsoft.com
#    
#    General notes: none
#
#    Format: Three tab-separated columns
#        Column #1 is the cp1047_IBMU_Latin_1 code (in hex)
#        Column #2 is the Unicode (in hex as 0xXXXX)
#        Column #3 is the Unicode name (follows a comment sign, '#')
#
#    The entries are in cp1047_IBMU_Latin_1 order
#
0x00	0X0000	#NULL
0xA2	0X0073	#LATIN SMALL LETTER S
0xA3	0X0074	#LATIN SMALL LETTER T
0xA4	0X0075	#LATIN SMALL LETTER U
0xA5	0X0076	#LATIN SMALL LETTER V
0xA6	0X0077	#LATIN SMALL LETTER W
0xA7	0X0078	#LATIN SMALL LETTER X
0xA8	0X0079	#LATIN SMALL LETTER Y
0xA9	0X007A	#LATIN SMALL LETTER Z
0xAA	0X00A1	#INVERTED EXCLAMATION MARK
0xAB	0X00BF	#INVERTED QUESTION MARK
0xAC	0X00D0	#LATIN CAPITAL LETTER ETH
0xAD	0X005B	#LEFT SQUARE BRACKET
0xAE	0X00DE	#LATIN CAPITAL LETTER THORN
0xAF	0X00AE	#REGISTERED SIGN
0xB0	0X00AC	#NOT SIGN
0xB1	0X00A3	#POUND SIGN
0xB2	0X00A5	#YEN SIGN
0xB3	0X00B7	#MIDDLE DOT
0xB4	0X00A9	#COPYRIGHT SIGN
0xB5	0X00A7	#SECTION SIGN
0xB6	0X00B6	#PILCROW SIGN
0xB7	0X00BC	#VULGAR FRACTION ONE QUARTER
0xB8	0X00BD	#VULGAR FRACTION ONE HALF
0xB9	0X00BE	#VULGAR FRACTION THREE QUARTERS
0xBA	0X00DD	#LATIN CAPITAL LETTER Y WITH ACUTE
0xBB	0X00A8	#DIAERESIS
0xBC	0X00AF	#MACRON
0xBD	0X005D	#RIGHT SQUARE BRACKET
0xBE	0X00B4	#ACUTE ACCENT
0xBF	0X00D7	#MULTIPLICATION SIGN
0xC0	0X007B	#LEFT CURLY BRACKET
0xC1	0X0041	#LATIN CAPITAL LETTER A
0xC2	0X0042	#LATIN CAPITAL LETTER B
0xC3	0X0043	#LATIN CAPITAL LETTER C
0xC4	0X0044	#LATIN CAPITAL LETTER D
0xC5	0X0045	#LATIN CAPITAL LETTER E
0xC6	0X0046	#LATIN CAPITAL LETTER F
0xC7	0X0047	#LATIN CAPITAL LETTER G
0xC8	0X0048	#LATIN CAPITAL LETTER H
0xC9	0X0049	#LATIN CAPITAL LETTER I
0xCA	0X00AD	#­SOFT HYPHEN
0xCB	0X00F4	#LATIN SMALL LETTER O WITH CIRCUMFLEX
0xCC	0X00F6	#LATIN SMALL LETTER O WITH DIAERESIS
0xCD	0X00F2	#LATIN SMALL LETTER O WITH GRAVE
0xCE	0X00F3	#LATIN SMALL LETTER O WITH ACUTE
0xCF	0X00F5	#LATIN SMALL LETTER O WITH TILDE
0xD0	0X007D	#RIGHT CURLY BRACKET
0xD1	0X004A	#LATIN CAPITAL LETTER J
0xD2	0X004B	#LATIN CAPITAL LETTER K
0xD3	0X004C	#LATIN CAPITAL LETTER L
0xD4	0X004D	#LATIN CAPITAL LETTER M
0xD5	0X004E	#LATIN CAPITAL LETTER N
0xD6	0X004F	#LATIN CAPITAL LETTER O
0xD7	0X0050	#LATIN CAPITAL LETTER P
0xD8	0X0051	#LATIN CAPITAL LETTER Q
0xD9	0X0052	#LATIN CAPITAL LETTER R
0xDA	0X00B9	#SUPERSCRIPT ONE
0xDB	0X00FB	#LATIN SMALL LETTER U WITH CIRCUMFLEX
0xDC	0X00FC	#LATIN SMALL LETTER U WITH DIAERESIS
0xDD	0X00F9	#LATIN SMALL LETTER U WITH GRAVE
0xDE	0X00FA	#LATIN SMALL LETTER U WITH ACUTE
0xDF	0X00FF	#LATIN SMALL LETTER Y WITH DIAERESIS
0xE0	0X005C	#REVERSE SOLIDUS
0xE1	0X00F7	#DIVISION SIGN
0xE2	0X0053	#LATIN CAPITAL LETTER S
0xE3	0X0054	#LATIN CAPITAL LETTER T
0xE4	0X0055	#LATIN CAPITAL LETTER U
0xE5	0X0056	#LATIN CAPITAL LETTER V
0xE6	0X0057	#LATIN CAPITAL LETTER W
0xE7	0X0058	#LATIN CAPITAL LETTER X
0xE8	0X0059	#LATIN CAPITAL LETTER Y
0xE9	0X005A	#LATIN CAPITAL LETTER Z
0xEA	0X00B2	#SUPERSCRIPT TWO
0xEB	0X00D4	#LATIN CAPITAL LETTER O WITH CIRCUMFLEX
0xEC	0X00D6	#LATIN CAPITAL LETTER O WITH DIAERESIS
0xED	0X00D2	#LATIN CAPITAL LETTER O WITH GRAVE
0xEE	0X00D3	#LATIN CAPITAL LETTER O WITH ACUTE
0xEF	0X00D5	#LATIN CAPITAL LETTER O WITH TILDE
0xF0	0X0030	#DIGIT ZERO
0xF1	0X0031	#DIGIT ONE
0xF2	0X0032	#DIGIT TWO
0xF3	0X0033	#DIGIT THREE
0xF4	0X0034	#DIGIT FOUR
0xF5	0X0035	#DIGIT FIVE
0xF6	0X0036	#DIGIT SIX
0xF7	0X0037	#DIGIT SEVEN
0xF8	0X0038	#DIGIT EIGHT
0xF9	0X0039	#DIGIT NINE
0xFA	0X00B3	#SUPERSCRIPT THREE
0xFB	0X00DB	#LATIN CAPITAL LETTER U WITH CIRCUMFLEX
0xFC	0X00DC	#LATIN CAPITAL LETTER U WITH DIAERESIS
0xFD	0X00D9	#LATIN CAPITAL LETTER U WITH GRAVE
0xFE	0X00DA	#LATIN CAPITAL LETTER U WITH ACUTE
0xFF	0X009F	#APPLICATION PROGRAM COMMAND


